State Imports by NAICS Commodities,,,,
Current date: 11/14/2018 6:42 PM (Eastern Standard Time),,,,
State,Commodity,Country,Time,Customs Value (Gen) ($US)
Alabama,212 Minerals & Ores,World Total,2014,"380,546,719"
Alabama,212 Minerals & Ores,World Total,2015,"294,627,907"
Alabama,212 Minerals & Ores,World Total,2016,"187,483,692"
Alabama,212 Minerals & Ores,World Total,2017,"120,877,259"
Alabama,311 Food & Kindred Products,World Total,2008,"60,783,821"
Alabama,311 Food & Kindred Products,World Total,2009,"42,831,392"
Alabama,311 Food & Kindred Products,World Total,2010,"52,765,717"
Alabama,311 Food & Kindred Products,World Total,2011,"65,234,021"
Alabama,311 Food & Kindred Products,World Total,2012,"64,034,455"
Alabama,311 Food & Kindred Products,World Total,2013,"109,669,899"
Alabama,311 Food & Kindred Products,World Total,2014,"119,993,818"
Alabama,311 Food & Kindred Products,World Total,2015,"125,053,610"
Alabama,311 Food & Kindred Products,World Total,2016,"165,420,233"
Alabama,311 Food & Kindred Products,World Total,2017,"167,735,700"
Alabama,312 Beverages & Tobacco Products,World Total,2008,"179,108,361"
Alabama,312 Beverages & Tobacco Products,World Total,2009,"126,582,644"
Alabama,312 Beverages & Tobacco Products,World Total,2010,"58,889,918"
Alabama,312 Beverages & Tobacco Products,World Total,2011,"62,125,009"
Alabama,312 Beverages & Tobacco Products,World Total,2012,"53,044,096"
Alabama,312 Beverages & Tobacco Products,World Total,2013,"25,404,108"
Alabama,312 Beverages & Tobacco Products,World Total,2014,"28,005,658"
Alabama,312 Beverages & Tobacco Products,World Total,2015,"32,646,259"
Alabama,312 Beverages & Tobacco Products,World Total,2016,"32,122,422"
Alabama,312 Beverages & Tobacco Products,World Total,2017,"27,451,216"
Alabama,313 Textiles & Fabrics,World Total,2008,"81,030,945"
Alabama,313 Textiles & Fabrics,World Total,2009,"63,374,642"
Alabama,313 Textiles & Fabrics,World Total,2010,"80,524,715"
Alabama,313 Textiles & Fabrics,World Total,2011,"89,641,734"
Alabama,313 Textiles & Fabrics,World Total,2012,"104,056,549"
Alabama,313 Textiles & Fabrics,World Total,2013,"101,957,296"
Alabama,313 Textiles & Fabrics,World Total,2014,"118,557,703"
Alabama,313 Textiles & Fabrics,World Total,2015,"122,067,746"
Alabama,313 Textiles & Fabrics,World Total,2016,"113,969,853"
Alabama,313 Textiles & Fabrics,World Total,2017,"115,252,682"
Alabama,314 Textile Mill Products,World Total,2008,"75,958,172"
Alabama,314 Textile Mill Products,World Total,2009,"106,406,342"
Alabama,314 Textile Mill Products,World Total,2010,"104,225,048"
Alabama,314 Textile Mill Products,World Total,2011,"86,353,932"
Alabama,314 Textile Mill Products,World Total,2012,"84,397,180"
Alabama,314 Textile Mill Products,World Total,2013,"77,013,350"
Alabama,314 Textile Mill Products,World Total,2014,"93,490,103"
Alabama,314 Textile Mill Products,World Total,2015,"104,543,579"
Alabama,314 Textile Mill Products,World Total,2016,"135,279,171"
Alabama,314 Textile Mill Products,World Total,2017,"126,798,029"
Alabama,315 Apparel & Accessories,World Total,2008,"610,174,539"
Alabama,315 Apparel & Accessories,World Total,2009,"460,464,336"
Alabama,315 Apparel & Accessories,World Total,2010,"522,736,933"
Alabama,315 Apparel & Accessories,World Total,2011,"574,355,006"
Alabama,315 Apparel & Accessories,World Total,2012,"510,417,910"
Alabama,315 Apparel & Accessories,World Total,2013,"434,286,978"
Alabama,315 Apparel & Accessories,World Total,2014,"437,344,153"
Alabama,315 Apparel & Accessories,World Total,2015,"543,881,066"
Alabama,315 Apparel & Accessories,World Total,2016,"828,146,417"
Alabama,315 Apparel & Accessories,World Total,2017,"969,854,072"
Alabama,316 Leather & Allied Products,World Total,2008,"123,577,526"
Alabama,316 Leather & Allied Products,World Total,2009,"96,794,845"
Alabama,316 Leather & Allied Products,World Total,2010,"107,324,079"
Alabama,316 Leather & Allied Products,World Total,2011,"145,268,690"
Alabama,316 Leather & Allied Products,World Total,2012,"171,745,568"
Alabama,316 Leather & Allied Products,World Total,2013,"172,245,919"
Alabama,316 Leather & Allied Products,World Total,2014,"198,374,957"
Alabama,316 Leather & Allied Products,World Total,2015,"209,930,798"
Alabama,316 Leather & Allied Products,World Total,2016,"255,277,308"
Alabama,316 Leather & Allied Products,World Total,2017,"281,404,455"
Alabama,321 Wood Products,World Total,2008,"217,842,938"
Alabama,321 Wood Products,World Total,2009,"129,726,500"
Alabama,321 Wood Products,World Total,2010,"138,785,927"
Alabama,321 Wood Products,World Total,2011,"149,788,157"
Alabama,321 Wood Products,World Total,2012,"161,528,134"
Alabama,321 Wood Products,World Total,2013,"184,723,988"
Alabama,321 Wood Products,World Total,2014,"194,088,963"
Alabama,321 Wood Products,World Total,2015,"175,869,018"
Alabama,321 Wood Products,World Total,2016,"195,214,002"
Alabama,321 Wood Products,World Total,2017,"234,694,342"
Alabama,322 Paper,World Total,2008,"183,975,093"
Alabama,322 Paper,World Total,2009,"157,364,903"
Alabama,322 Paper,World Total,2010,"162,087,568"
Alabama,322 Paper,World Total,2011,"165,833,282"
Alabama,322 Paper,World Total,2012,"95,924,572"
Alabama,322 Paper,World Total,2013,"110,948,772"
Alabama,322 Paper,World Total,2014,"103,951,520"
Alabama,322 Paper,World Total,2015,"100,584,510"
Alabama,322 Paper,World Total,2016,"108,075,357"
Alabama,322 Paper,World Total,2017,"151,306,715"
Alabama,"323 Printed Matter And Related Products, Nesoi",World Total,2008,"44,175,501"
Alabama,"323 Printed Matter And Related Products, Nesoi",World Total,2009,"31,698,440"
Alabama,"323 Printed Matter And Related Products, Nesoi",World Total,2010,"33,274,352"
Alabama,"323 Printed Matter And Related Products, Nesoi",World Total,2011,"35,782,437"
Alabama,"323 Printed Matter And Related Products, Nesoi",World Total,2012,"24,281,850"
Alabama,"323 Printed Matter And Related Products, Nesoi",World Total,2013,"25,991,239"
Alabama,"323 Printed Matter And Related Products, Nesoi",World Total,2014,"27,967,722"
Alabama,"323 Printed Matter And Related Products, Nesoi",World Total,2015,"29,531,678"
Alabama,"323 Printed Matter And Related Products, Nesoi",World Total,2016,"23,447,721"
Alabama,"323 Printed Matter And Related Products, Nesoi",World Total,2017,"23,701,312"
Alabama,324 Petroleum & Coal Products,World Total,2008,"44,918,858"
Alabama,324 Petroleum & Coal Products,World Total,2009,"32,086,210"
Alabama,324 Petroleum & Coal Products,World Total,2010,"34,493,429"
Alabama,324 Petroleum & Coal Products,World Total,2011,"83,715,524"
Alabama,324 Petroleum & Coal Products,World Total,2012,"64,318,949"
Alabama,324 Petroleum & Coal Products,World Total,2013,"45,446,378"
Alabama,324 Petroleum & Coal Products,World Total,2014,"42,091,555"
Alabama,324 Petroleum & Coal Products,World Total,2015,"193,742,807"
Alabama,324 Petroleum & Coal Products,World Total,2016,"243,441,866"
Alabama,324 Petroleum & Coal Products,World Total,2017,"32,320,324"
Alabama,325 Chemicals,World Total,2008,"939,866,437"
Alabama,325 Chemicals,World Total,2009,"706,339,095"
Alabama,325 Chemicals,World Total,2010,"822,066,092"
Alabama,325 Chemicals,World Total,2011,"1,063,640,394"
Alabama,325 Chemicals,World Total,2012,"1,080,965,399"
Alabama,325 Chemicals,World Total,2013,"1,298,703,671"
Alabama,325 Chemicals,World Total,2014,"1,529,231,831"
Alabama,325 Chemicals,World Total,2015,"1,358,245,248"
Alabama,325 Chemicals,World Total,2016,"1,220,754,153"
Alabama,325 Chemicals,World Total,2017,"1,323,212,852"
Alabama,326 Plastics & Rubber Products,World Total,2008,"355,972,257"
Alabama,326 Plastics & Rubber Products,World Total,2009,"296,659,788"
Alabama,326 Plastics & Rubber Products,World Total,2010,"406,977,216"
Alabama,326 Plastics & Rubber Products,World Total,2011,"399,999,890"
Alabama,326 Plastics & Rubber Products,World Total,2012,"491,681,534"
Alabama,326 Plastics & Rubber Products,World Total,2013,"597,413,304"
Alabama,326 Plastics & Rubber Products,World Total,2014,"572,231,140"
Alabama,326 Plastics & Rubber Products,World Total,2015,"706,984,638"
Alabama,326 Plastics & Rubber Products,World Total,2016,"694,422,746"
Alabama,326 Plastics & Rubber Products,World Total,2017,"685,822,725"
Alabama,327 Nonmetallic Mineral Products,World Total,2008,"138,889,209"
Alabama,327 Nonmetallic Mineral Products,World Total,2009,"93,653,479"
Alabama,327 Nonmetallic Mineral Products,World Total,2010,"118,948,661"
Alabama,327 Nonmetallic Mineral Products,World Total,2011,"136,381,051"
Alabama,327 Nonmetallic Mineral Products,World Total,2012,"141,936,595"
Alabama,327 Nonmetallic Mineral Products,World Total,2013,"148,899,071"
Alabama,327 Nonmetallic Mineral Products,World Total,2014,"197,533,091"
Alabama,327 Nonmetallic Mineral Products,World Total,2015,"167,746,931"
Alabama,327 Nonmetallic Mineral Products,World Total,2016,"210,939,811"
Alabama,327 Nonmetallic Mineral Products,World Total,2017,"221,875,286"
Alabama,331 Primary Metal Mfg,World Total,2008,"993,204,763"
Alabama,331 Primary Metal Mfg,World Total,2009,"635,351,821"
Alabama,331 Primary Metal Mfg,World Total,2010,"1,124,129,437"
Alabama,331 Primary Metal Mfg,World Total,2011,"2,547,817,516"
Alabama,331 Primary Metal Mfg,World Total,2012,"2,952,129,864"
Alabama,331 Primary Metal Mfg,World Total,2013,"2,667,440,586"
Alabama,331 Primary Metal Mfg,World Total,2014,"1,849,443,133"
Alabama,331 Primary Metal Mfg,World Total,2015,"1,276,739,153"
Alabama,331 Primary Metal Mfg,World Total,2016,"1,284,646,555"
Alabama,331 Primary Metal Mfg,World Total,2017,"1,721,504,531"
Alabama,"332 Fabricated Metal Products, Nesoi",World Total,2008,"670,334,789"
Alabama,"332 Fabricated Metal Products, Nesoi",World Total,2009,"566,285,733"
Alabama,"332 Fabricated Metal Products, Nesoi",World Total,2010,"772,672,805"
Alabama,"332 Fabricated Metal Products, Nesoi",World Total,2011,"932,840,825"
Alabama,"332 Fabricated Metal Products, Nesoi",World Total,2012,"1,140,842,414"
Alabama,"332 Fabricated Metal Products, Nesoi",World Total,2013,"1,178,566,161"
Alabama,"332 Fabricated Metal Products, Nesoi",World Total,2014,"1,259,064,050"
Alabama,"332 Fabricated Metal Products, Nesoi",World Total,2015,"1,325,447,667"
Alabama,"332 Fabricated Metal Products, Nesoi",World Total,2016,"1,339,844,616"
Alabama,"332 Fabricated Metal Products, Nesoi",World Total,2017,"1,430,464,682"
Alabama,"333 Machinery, Except Electrical",World Total,2008,"1,432,088,561"
Alabama,"333 Machinery, Except Electrical",World Total,2009,"1,566,855,528"
Alabama,"333 Machinery, Except Electrical",World Total,2010,"1,575,304,779"
Alabama,"333 Machinery, Except Electrical",World Total,2011,"1,705,402,945"
Alabama,"333 Machinery, Except Electrical",World Total,2012,"1,824,468,444"
Alabama,"333 Machinery, Except Electrical",World Total,2013,"1,954,613,801"
Alabama,"333 Machinery, Except Electrical",World Total,2014,"2,068,227,876"
Alabama,"333 Machinery, Except Electrical",World Total,2015,"2,122,311,025"
Alabama,"333 Machinery, Except Electrical",World Total,2016,"1,987,654,810"
Alabama,"333 Machinery, Except Electrical",World Total,2017,"2,158,095,975"
Alabama,334 Computer & Electronic Products,World Total,2008,"1,443,780,152"
Alabama,334 Computer & Electronic Products,World Total,2009,"1,085,965,439"
Alabama,334 Computer & Electronic Products,World Total,2010,"1,293,231,539"
Alabama,334 Computer & Electronic Products,World Total,2011,"1,318,590,567"
Alabama,334 Computer & Electronic Products,World Total,2012,"1,396,669,785"
Alabama,334 Computer & Electronic Products,World Total,2013,"1,520,850,409"
Alabama,334 Computer & Electronic Products,World Total,2014,"1,484,885,346"
Alabama,334 Computer & Electronic Products,World Total,2015,"1,599,744,545"
Alabama,334 Computer & Electronic Products,World Total,2016,"1,586,331,809"
Alabama,334 Computer & Electronic Products,World Total,2017,"1,549,770,757"
Alabama,"335 Electrical Equipment, Appliances & Components",World Total,2008,"430,364,760"
Alabama,"335 Electrical Equipment, Appliances & Components",World Total,2009,"374,585,341"
Alabama,"335 Electrical Equipment, Appliances & Components",World Total,2010,"433,337,852"
Alabama,"335 Electrical Equipment, Appliances & Components",World Total,2011,"570,673,697"
Alabama,"335 Electrical Equipment, Appliances & Components",World Total,2012,"725,455,213"
Alabama,"335 Electrical Equipment, Appliances & Components",World Total,2013,"867,543,293"
Alabama,"335 Electrical Equipment, Appliances & Components",World Total,2014,"858,324,835"
Alabama,"335 Electrical Equipment, Appliances & Components",World Total,2015,"982,973,687"
Alabama,"335 Electrical Equipment, Appliances & Components",World Total,2016,"932,071,367"
Alabama,"335 Electrical Equipment, Appliances & Components",World Total,2017,"934,533,463"
Alabama,336 Transportation Equipment,World Total,2008,"3,426,049,105"
Alabama,336 Transportation Equipment,World Total,2009,"3,209,201,468"
Alabama,336 Transportation Equipment,World Total,2010,"4,127,711,366"
Alabama,336 Transportation Equipment,World Total,2011,"4,594,630,737"
Alabama,336 Transportation Equipment,World Total,2012,"5,530,013,525"
Alabama,336 Transportation Equipment,World Total,2013,"5,683,034,537"
Alabama,336 Transportation Equipment,World Total,2014,"6,831,709,811"
Alabama,336 Transportation Equipment,World Total,2015,"7,464,242,172"
Alabama,336 Transportation Equipment,World Total,2016,"7,543,501,811"
Alabama,336 Transportation Equipment,World Total,2017,"7,807,202,822"
Alabama,337 Furniture & Fixtures,World Total,2008,"219,698,501"
Alabama,337 Furniture & Fixtures,World Total,2009,"175,885,935"
Alabama,337 Furniture & Fixtures,World Total,2010,"231,582,035"
Alabama,337 Furniture & Fixtures,World Total,2011,"201,694,627"
Alabama,337 Furniture & Fixtures,World Total,2012,"214,026,670"
Alabama,337 Furniture & Fixtures,World Total,2013,"204,952,176"
Alabama,337 Furniture & Fixtures,World Total,2014,"240,670,740"
Alabama,337 Furniture & Fixtures,World Total,2015,"282,880,535"
Alabama,337 Furniture & Fixtures,World Total,2016,"299,528,747"
Alabama,337 Furniture & Fixtures,World Total,2017,"320,034,157"
Alabama,339 Miscellaneous Manufactured Commodities,World Total,2008,"211,783,003"
Alabama,339 Miscellaneous Manufactured Commodities,World Total,2009,"178,650,960"
Alabama,339 Miscellaneous Manufactured Commodities,World Total,2010,"222,939,648"
Alabama,339 Miscellaneous Manufactured Commodities,World Total,2011,"241,292,577"
Alabama,339 Miscellaneous Manufactured Commodities,World Total,2012,"272,756,497"
Alabama,339 Miscellaneous Manufactured Commodities,World Total,2013,"263,173,350"
Alabama,339 Miscellaneous Manufactured Commodities,World Total,2014,"309,891,862"
Alabama,339 Miscellaneous Manufactured Commodities,World Total,2015,"349,335,158"
Alabama,339 Miscellaneous Manufactured Commodities,World Total,2016,"322,409,957"
Alabama,339 Miscellaneous Manufactured Commodities,World Total,2017,"307,901,910"
Alabama,"511 Newspapers, Books & Other Published Matter, Nesoi",World Total,2008,"5,292"
Alabama,"511 Newspapers, Books & Other Published Matter, Nesoi",World Total,2009,"121,324"
Alabama,"511 Newspapers, Books & Other Published Matter, Nesoi",World Total,2010,"13,552"
Alabama,"511 Newspapers, Books & Other Published Matter, Nesoi",World Total,2011,"145,789"
Alabama,910 Waste And Scrap,World Total,2008,"278,975,332"
Alabama,910 Waste And Scrap,World Total,2009,"143,394,486"
Alabama,910 Waste And Scrap,World Total,2010,"230,999,128"
Alabama,910 Waste And Scrap,World Total,2011,"320,819,647"
Alabama,910 Waste And Scrap,World Total,2012,"290,791,517"
Alabama,910 Waste And Scrap,World Total,2013,"264,628,769"
Alabama,910 Waste And Scrap,World Total,2014,"247,163,959"
Alabama,910 Waste And Scrap,World Total,2015,"191,483,311"
Alabama,910 Waste And Scrap,World Total,2016,"157,346,346"
Alabama,910 Waste And Scrap,World Total,2017,"244,946,728"
Alabama,920 Used Or Second-hand Merchandise,World Total,2008,"6,849,396"
Alabama,920 Used Or Second-hand Merchandise,World Total,2009,"4,171,052"
Alabama,920 Used Or Second-hand Merchandise,World Total,2010,"4,697,565"
Alabama,920 Used Or Second-hand Merchandise,World Total,2011,"5,855,838"
Alabama,930 Used Or Second-hand Merchandise,World Total,2012,"8,840,053"
Alabama,930 Used Or Second-hand Merchandise,World Total,2013,"9,970,858"
Alabama,930 Used Or Second-hand Merchandise,World Total,2014,"4,924,272"
Alabama,930 Used Or Second-hand Merchandise,World Total,2015,"8,961,592"
Alabama,930 Used Or Second-hand Merchandise,World Total,2016,"11,800,835"
Alabama,930 Used Or Second-hand Merchandise,World Total,2017,"9,538,821"
Alabama,980 Goods Returned (exports For Canada Only),World Total,2008,"219,986,528"
Alabama,980 Goods Returned (exports For Canada Only),World Total,2009,"178,195,570"
Alabama,980 Goods Returned (exports For Canada Only),World Total,2010,"223,208,439"
Alabama,980 Goods Returned (exports For Canada Only),World Total,2011,"205,406,402"
Alabama,980 Goods Returned (exports For Canada Only),World Total,2012,"210,422,257"
Alabama,980 Goods Returned (exports For Canada Only),World Total,2013,"278,481,918"
Alabama,980 Goods Returned (exports For Canada Only),World Total,2014,"303,362,510"
Alabama,980 Goods Returned (exports For Canada Only),World Total,2015,"254,597,162"
Alabama,980 Goods Returned (exports For Canada Only),World Total,2016,"303,525,425"
Alabama,980 Goods Returned (exports For Canada Only),World Total,2017,"507,803,932"
Alabama,990 Other Special Classification Provisions,World Total,2008,"39,552,697"
Alabama,990 Other Special Classification Provisions,World Total,2009,"23,066,579"
Alabama,990 Other Special Classification Provisions,World Total,2010,"7,698,349"
Alabama,990 Other Special Classification Provisions,World Total,2011,"8,909,740"
Alabama,990 Other Special Classification Provisions,World Total,2012,"1,612,509"
Alabama,990 Other Special Classification Provisions,World Total,2013,"2,803,632"
Alabama,990 Other Special Classification Provisions,World Total,2014,"5,709,816"
Alabama,990 Other Special Classification Provisions,World Total,2015,"326,197"
Alabama,990 Other Special Classification Provisions,World Total,2016,"3,778,701"
Alabama,990 Other Special Classification Provisions,World Total,2017,"7,132,273"
Alaska,111 Agricultural Products,World Total,2008,"1,389,349"
Alaska,111 Agricultural Products,World Total,2009,"1,815,422"
Alaska,111 Agricultural Products,World Total,2010,"1,480,679"
Alaska,111 Agricultural Products,World Total,2011,"1,478,066"
Alaska,111 Agricultural Products,World Total,2012,"1,198,659"
Alaska,111 Agricultural Products,World Total,2013,"1,465,826"
Alaska,111 Agricultural Products,World Total,2014,"1,282,100"
Alaska,111 Agricultural Products,World Total,2015,"1,120,671"
Alaska,111 Agricultural Products,World Total,2016,"1,571,568"
Alaska,111 Agricultural Products,World Total,2017,"1,363,320"
Alaska,112 Livestock & Livestock Products,World Total,2008,"239,424"
Alaska,112 Livestock & Livestock Products,World Total,2009,"277,077"
Alaska,112 Livestock & Livestock Products,World Total,2010,"215,744"
Alaska,112 Livestock & Livestock Products,World Total,2011,"211,642"
Alaska,112 Livestock & Livestock Products,World Total,2012,"222,317"
Alaska,112 Livestock & Livestock Products,World Total,2013,"309,905"
Alaska,112 Livestock & Livestock Products,World Total,2014,"285,891"
Alaska,112 Livestock & Livestock Products,World Total,2015,"580,490"
Alaska,112 Livestock & Livestock Products,World Total,2016,"864,613"
Alaska,112 Livestock & Livestock Products,World Total,2017,"712,519"
Alaska,"113 Forestry Products, Nesoi",World Total,2008,"1,083,668"
Alaska,"113 Forestry Products, Nesoi",World Total,2009,"83,041"
Alaska,"113 Forestry Products, Nesoi",World Total,2010,"33,309"
Alaska,"113 Forestry Products, Nesoi",World Total,2011,"15,800"
Alaska,"113 Forestry Products, Nesoi",World Total,2012,"521,067"
Alaska,"113 Forestry Products, Nesoi",World Total,2013,"3,944"
Alaska,"113 Forestry Products, Nesoi",World Total,2014,"5,946"
Alaska,"113 Forestry Products, Nesoi",World Total,2015,"180,933"
Alaska,"113 Forestry Products, Nesoi",World Total,2016,"672,568"
Alaska,"113 Forestry Products, Nesoi",World Total,2017,"4,480"
Alaska,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2008,"5,288,636"
Alaska,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2009,"3,977,713"
Alaska,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2010,"4,480,525"
Alaska,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2011,"9,209,989"
Alaska,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2012,"9,732,441"
Alaska,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2013,"7,549,705"
Alaska,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2014,"12,621,088"
Alaska,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2015,"6,018,004"
Alaska,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2016,"5,975,723"
Alaska,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2017,"4,860,946"
Alaska,211 Oil & Gas,World Total,2008,"412,514,463"
Alaska,211 Oil & Gas,World Total,2009,"253,267,891"
Alaska,211 Oil & Gas,World Total,2010,"192,562,617"
Alaska,211 Oil & Gas,World Total,2011,"138,382,262"
Alaska,211 Oil & Gas,World Total,2012,"214,732,925"
Alaska,211 Oil & Gas,World Total,2013,"4,489,460"
Alaska,211 Oil & Gas,World Total,2014,"315,948,053"
Alaska,211 Oil & Gas,World Total,2015,"35,109,196"
Alaska,211 Oil & Gas,World Total,2016,"70,738,080"
Alaska,211 Oil & Gas,World Total,2017,"55,975,920"
Alaska,212 Minerals & Ores,World Total,2008,"105,375,152"
Alaska,212 Minerals & Ores,World Total,2009,"108,353,555"
Alaska,212 Minerals & Ores,World Total,2010,"83,360,176"
Alaska,212 Minerals & Ores,World Total,2011,"130,831,925"
Alaska,212 Minerals & Ores,World Total,2012,"116,648,036"
Alaska,212 Minerals & Ores,World Total,2013,"92,386,162"
Alaska,212 Minerals & Ores,World Total,2014,"92,816,806"
Alaska,212 Minerals & Ores,World Total,2015,"75,632,276"
Alaska,212 Minerals & Ores,World Total,2016,"150,785,863"
Alaska,212 Minerals & Ores,World Total,2017,"70,999,484"
Alaska,311 Food & Kindred Products,World Total,2008,"8,721,355"
Alaska,311 Food & Kindred Products,World Total,2009,"7,813,477"
Alaska,311 Food & Kindred Products,World Total,2010,"9,611,686"
Alaska,311 Food & Kindred Products,World Total,2011,"13,080,891"
Alaska,311 Food & Kindred Products,World Total,2012,"9,579,322"
Alaska,311 Food & Kindred Products,World Total,2013,"12,784,082"
Alaska,311 Food & Kindred Products,World Total,2014,"12,002,829"
Alaska,311 Food & Kindred Products,World Total,2015,"13,800,906"
Alaska,311 Food & Kindred Products,World Total,2016,"15,842,447"
Alaska,311 Food & Kindred Products,World Total,2017,"14,131,768"
Alaska,312 Beverages & Tobacco Products,World Total,2008,"1,109,968"
Alaska,312 Beverages & Tobacco Products,World Total,2009,"1,583,790"
Alaska,312 Beverages & Tobacco Products,World Total,2010,"944,946"
Alaska,312 Beverages & Tobacco Products,World Total,2011,"571,200"
Alaska,312 Beverages & Tobacco Products,World Total,2012,"609,720"
Alaska,312 Beverages & Tobacco Products,World Total,2013,"1,555,946"
Alaska,312 Beverages & Tobacco Products,World Total,2014,"916,077"
Alaska,312 Beverages & Tobacco Products,World Total,2015,"637,073"
Alaska,312 Beverages & Tobacco Products,World Total,2016,"555,844"
Alaska,312 Beverages & Tobacco Products,World Total,2017,"90,893"
Alaska,313 Textiles & Fabrics,World Total,2008,"1,118,665"
Alaska,313 Textiles & Fabrics,World Total,2009,"443,155"
Alaska,313 Textiles & Fabrics,World Total,2010,"687,708"
Alaska,313 Textiles & Fabrics,World Total,2011,"886,526"
Alaska,313 Textiles & Fabrics,World Total,2012,"238,793"
Alaska,313 Textiles & Fabrics,World Total,2013,"610,698"
Alaska,313 Textiles & Fabrics,World Total,2014,"437,116"
Alaska,313 Textiles & Fabrics,World Total,2015,"363,134"
Alaska,313 Textiles & Fabrics,World Total,2016,"615,366"
